,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.089,0.0001332152462040794,3.495066952438461e-07,3.495066952438461e-07,8.427847715396073e-05,0.04044612617332335,0.00010611542069740201,0.00010611542069740201,0.025588196680150423
0.09,0.00013474351109876335,3.572872996084995e-07,3.572872996084995e-07,8.728523638585306e-05,0.0409138015101741,0.00010848746287733043,0.00010848746287733043,0.02650347172296739
0.091,0.0001362419985182426,3.6515062091035404e-07,3.6515062091035404e-07,9.035587435799436e-05,0.041372559666372696,0.00011088516034065538,0.00011088516034065538,0.02743833651693571
0.092,0.00013771026675335777,3.730965588788479e-07,3.730965588788479e-07,9.349079977211219e-05,0.04182226544069703,0.00011330849680502388,0.00011330849680502388,0.028392923320199704
0.093,0.00013914791429314583,3.8112501298952187e-07,3.8112501298952187e-07,9.669042166393398e-05,0.04226279573725963,0.0001157574560578951,0.0001157574560578951,0.029367364658613736
0.094,0.00014055458014959504,3.892358825170291e-07,3.892358825170291e-07,9.99551493149184e-05,0.04269403966848313,0.00011823202197247615,0.00011823202197247615,0.030361793300355686
0.095,0.00014192994413301125,3.97429066485673e-07,3.97429066485673e-07,0.00010328539209388152,0.04311589864331312,0.00012073217849253916,0.00012073217849253916,0.031376342209232765
0.096,0.00014327372707727702,4.057044636561417e-07,4.057044636561417e-07,0.00010668155923118739,0.04352828644044159,0.00012325790962822692,0.00012325790962822692,0.03241114447747579
0.097,0.00014458569101343,4.14061972649512e-07,4.14061972649512e-07,0.00011014405952890005,0.04393112926605541,0.00012580919949356536,0.00012580919949356536,0.033466333239039255
0.098,0.0001458656392908918,4.2250149179291505e-07,4.2250149179291505e-07,0.00011367330101056551,0.04432436579589681,0.00012838603225941937,0.00012838603225941937,0.03454204156450716
0.099,0.00014711341664489424,4.310229192566795e-07,4.310229192566795e-07,0.00011726969051500717,0.04470794720118498,0.0001309883921950027,0.0001309883921950027,0.035638402338922265
0.1,0.00014832890920926558,4.3962615290057617e-07,4.3962615290057617e-07,0.00012093363323862763,0.045081837158133645,0.00013361626362099954,0.00013361626362099954,0.03675554812388999
0.101,0.00014951204447354266,4.483110904323085e-07,4.483110904323085e-07,0.00012466553223126382,0.04544601184073942,0.0001362696309575703,0.0001362696309575703,0.03789361100547763
0.10200000000000001,0.00015066279118307018,4.570776293745321e-07,4.570776293745321e-07,0.00012846578785078762,0.04580045989642191,0.00013894847871418056,0.00013894847871418056,0.03905272242947401
0.10300000000000001,0.0001517811591815709,4.6592566700602065e-07,4.6592566700602065e-07,0.00013233479718210834,0.04614518240434639,0.00014165279147156567,0.00014165279147156567,0.040233013025717045
0.10400000000000001,0.00015286719919474804,4.748551003889059e-07,4.748551003889059e-07,0.00013627295342609797,0.046480192815978164,0.0001443825538898557,0.0001443825538898557,0.04143461242315649
0.105,0.00015392100255423344,4.83865826412853e-07,4.83865826412853e-07,0.00014028064526457734,0.04680551687764618,0.0001471377507218563,0.0001471377507218563,0.04265764905750793
0.106,0.00015494270086096747,4.929577417422774e-07,4.929577417422774e-07,0.0001443582562069927,0.04712119253482311,0.00014991836679685217,0.00014991836679685217,0.043902249973200524
0.107,0.00015593246558700898,5.02130742869584e-07,5.02130742869584e-07,0.00014850616392511276,0.047427269817801876,0.00015272438703664736,0.00015272438703664736,0.04516854062153573
0.108,0.00015689050761515713,5.113847260661149e-07,5.113847260661149e-07,0.0001527247395815117,0.047723810708564574,0.00015555579644050205,0.00015555579644050205,0.04645664465680354
0.109,0.0001578170767154776,5.207195874030009e-07,5.207195874030009e-07,0.00015701434715788772,0.04801088898855091,0.00015841258009132583,0.00015841258009132583,0.04776668373219099
0.11,0.0001587124609581285,5.30135222785867e-07,5.30135222785867e-07,0.00016137534278893402,0.04828859006712454,0.00016129472316609166,0.00016129472316609166,0.04909877729721787
0.111,0.0001595769860619162,5.396315279447673e-07,5.396315279447673e-07,0.00016580807410751142,0.04855701079054577,0.00016420221093263405,0.00016420221093263405,0.05045304239844576
0.112,0.00016041101467802993,5.492083983374422e-07,5.492083983374422e-07,0.00017031287960656143,0.04881625923126401,0.00016713502872006865,0.00016713502872006865,0.051829593485114095
0.113,0.00016121494560839185,5.588657293087298e-07,5.588657293087298e-07,0.00017489008802287588,0.04906645445733868,0.00017009316196715427,0.00017009316196715427,0.05322854222125983
0.114,0.00016198921295861095,5.686034159822203e-07,5.686034159822203e-07,0.00017954001774778147,0.04930772628196514,0.0001730765961891867,0.0001730765961891867,0.054649997305861855
0.115,0.00016273428522507993,5.784213533184055e-07,5.784213533184055e-07,0.00018426297626920245,0.049540214992943914,0.0001760853169955557,0.0001760853169955557,0.05609406430237097
0.116,0.00016345066431624206,5.883194360517045e-07,5.883194360517045e-07,0.00018905925964950897,0.04976407106208022,0.00017911931007043769,0.00017911931007043769,0.057560845478971445
0.117,0.00016413888450813848,5.982975587230469e-07,5.982975587230469e-07,0.0001939291520428646,0.049979454834525136,0.00018217856118257292,0.00018217856118257292,0.059050439660710184
