X,Y,Z,U1,U2,U3,E11,E22,E33,E12,E13,E23,S11,S22,S33,S12,S13,S23
0,0.08,0.68,-0.123495641,-0.124175851,0.06451336,0,-0.006607827,0.107861192,0.005230612,-0.042837727,-0.046667509,433942.9951,419783.3666,665074.1212,11208.45334,-91795.12988,-100001.8046
0,0.08,0.72,-0.126679027,-0.127365096,0.068854449,0,-0.006653265,0.109073959,0.005310392,-0.036813932,-0.040153955,438945.8319,424688.8351,672675.7447,11379.4125,-78886.99713,-86044.18884
0,0.08,0.76,-0.12938587,-0.130072722,0.073239276,0,-0.006576113,0.110033591,0.005375378,-0.030969347,-0.033762331,443389.19,429297.5183,679175.4568,11518.66736,-66362.88677,-72347.8515
0,0.08,0.8,-0.131634123,-0.132317133,0.077657136,0,-0.006375796,0.110728449,0.00542837,-0.025387671,-0.027620821,447225.6588,433563.2395,684500.9074,11632.2208,-54402.15154,-59187.4742
0,0.08,0.84,-0.133447898,-0.134123963,0.082097552,0,-0.006086441,0.111189004,0.005471884,-0.020126408,-0.021839671,450439.5523,437397.1781,688701.7028,11725.46542,-43128.01672,-46799.29564
0,0.08,0.88,-0.134854348,-0.135523346,0.086552257,0,-0.005792835,0.111499688,0.005507704,-0.015187237,-0.016469336,453029.3691,440616.1513,691957.2715,11802.22202,-32544.07904,-35291.43366
0,0.08,0.92,-0.135877856,-0.136544488,0.091017527,0,-0.005641633,0.111801651,0.005536474,-0.010478238,-0.011448434,454971.5084,442882.2957,694546.4754,11863.87386,-22453.36709,-24532.35858
0,0.08,0.96,-0.136530866,-0.137207431,0.095496389,0,-0.005843957,0.112280907,0.00555745,-0.005741743,-0.006559024,456158.3603,443635.5963,696760.3044,11908.82052,-12303.7359,-14055.05178
0,0.08,1,-0.136796535,-0.137513319,0.1,0,-0.006669979,0,0.005568037,0,0,-28585.62516,-42878.43774,-28585.62516,11931.50801,0,0
0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12,0.04,-0.010344035,-0.010608568,0.003312031,0,-0.001942695,0.083600139,0.000849697,-0.127512309,-0.131176161,349960.4727,345797.5543,529103.6275,1820.779985,-273240.6624,-281091.7727
0,0.12,0.08,-0.020401969,-0.020840828,0.006688011,0,-0.003155032,0.0850396,0.00163312,-0.123590563,-0.127255548,350933.8631,344173.0795,533161.5783,3499.543087,-264836.9197,-272690.4597
0,0.12,0.12,-0.030118525,-0.030691842,0.010115199,0,-0.003945685,0.086250553,0.002349681,-0.119174615,-0.123169053,352735.1454,344280.1055,537557.758,5035.030423,-255374.174,-263933.6844
0,0.12,0.16,-0.039469908,-0.040155418,0.013588055,0,-0.004503158,0.087381509,0.003005101,-0.114520827,-0.118936178,355192.9354,345543.3117,542439.0268,6439.501802,-245401.773,-254863.2386
0,0.12,0.2,-0.048441857,-0.049225603,0.017105719,0,-0.004938931,0.088526051,0.003605314,-0.10971345,-0.114580111,358230.5163,347647.0933,547929.1975,7725.673783,-235100.2506,-245528.8092
0,0.12,0.24,-0.05702406,-0.057896631,0.020670139,0,-0.00531964,0.089740003,0.004155463,-0.104786609,-0.110111408,361801.5527,350402.3232,554101.5585,8904.56343,-224542.7329,-235953.0176
0,0.12,0.28,-0.065207714,-0.066162417,0.02428492,0,-0.005686313,0.091055808,0.004659726,-0.09975103,-0.105526339,365869.2658,353684.3097,560988.8548,9985.12765,-213752.2078,-226127.8686
0,0.12,0.32,-0.072984225,-0.074016055,0.027954604,0,-0.00606481,0.092490931,0.00512135,-0.094604843,-0.100809687,370397.6613,357401.6404,568592.5129,10974.32095,-202724.6642,-216020.7575
0,0.12,0.36,-0.080344489,-0.081449485,0.031684194,0,-0.006471297,0.094052107,0.005542738,-0.089339654,-0.095938312,375346.3303,361479.2654,576886.5603,11877.29478,-191442.1155,-205582.0979
0,0.12,0.4,-0.087278569,-0.088453332,0.035478773,0,-0.006914888,0.095737137,0.005925585,-0.08394478,-0.090884584,380666.7796,365849.1621,585817.7869,12697.68267,-179881.6713,-194752.6794
0,0.12,0.44,-0.093775654,-0.095016957,0.039343165,0,-0.007398568,0.097535175,0.00627105,-0.078410743,-0.08561972,386299.7452,370445.6708,595303.6922,13437.96329,-168023.0215,-183470.8296
0,0.12,0.48,-0.099824288,-0.101128702,0.043281587,0,-0.007918968,0.099426097,0.006579953,-0.072732543,-0.080117323,392173.4096,375204.1926,605229.3313,14099.89855,-155855.45,-171679.9787
0,0.12,0.52,-0.105412861,-0.106776373,0.047297253,0,-0.008465347,0.101379309,0.006853017,-0.066912954,-0.074357403,398202.6917,380062.6622,615444.0672,14685.03603,-143384.9017,-159337.2925
0,0.12,0.56,-0.110530361,-0.111947971,0.051391931,0,-0.009018118,0.103352439,0.007091116,-0.060965881,-0.068331162,404289.9469,384965.4088,625759.4585,15195.249,-130641.173,-146423.9176
0,0.12,0.6,-0.115167402,-0.116632712,0.055565448,0,-0.009547405,0.105290492,0.007295524,-0.054919569,-0.062046634,410327.5148,389868.7895,635949.9975,15633.26669,-117684.7897,-132957.0738
0,0.12,0.64,-0.119317492,-0.120822337,0.059815171,0,-0.010012474,0.107126393,0.007468124,-0.048819154,-0.055535014,416202.5107,394747.2095,645759.0671,16003.12391,-104612.4728,-119003.6017
0,0.12,0.68,-0.122978466,-0.124512696,0.064135559,0,-0.010363358,0.108784276,0.007611537,-0.042727639,-0.048856937,421803.9372,399596.7424,654913.1007,16310.43703,-91559.22688,-104693.436
0,0.12,0.72,-0.126153914,-0.127705516,0.068517913,0,-0.010546628,0.11018729,0.007729121,-0.03672391,-0.042107122,427031.4088,404431.4908,663147.0312,16562.4015,-78694.09235,-90229.54777
0,0.12,0.76,-0.128854292,-0.130410136,0.072950542,0,-0.010517652,0.111271763,0.007824793,-0.030896005,-0.035414401,431803.3347,409265.5099,670242.8268,16767.41378,-66205.72396,-75888.00171
0,0.12,0.8,-0.131097275,-0.132644797,0.077419654,0,-0.01026128,0.112008684,0.007902655,-0.025327728,-0.02893247,436060.2993,414071.8411,676078.9072,16934.26174,-54273.70357,-61998.14912
0,0.12,0.84,-0.132906729,-0.134436825,0.081911237,0,-0.00982073,0.112430736,0.007966426,-0.020077209,-0.022815356,439757.1661,418712.7436,680680.1716,17070.91244,-43022.59133,-48890.04927
0,0.12,0.88,-0.134309628,-0.135820795,0.086414113,0,-0.009329192,0.112657727,0.008018762,-0.015147282,-0.017172291,442836.5769,422845.4509,684245.9915,17183.06118,-32458.46091,-36797.76643
0,0.12,0.92,-0.135330294,-0.136833645,0.090923855,0,-0.009030275,0.112905244,0.008060625,-0.010447602,-0.012002739,445178.4396,425827.851,687118.2479,17272.76862,-22387.7191,-25720.15447
0,0.12,0.96,-0.135981245,-0.137506099,0.095446532,0,-0.009263134,0.113451808,0.008090863,-0.005722496,-0.007127295,446522.8911,426673.3187,689633.909,17337.56318,-12262.49202,-15272.77512
0,0.12,1,-0.136245893,-0.137850936,0.1,0,-0.010380782,0,0.00810569,0,0,-44489.06778,-66733.60167,-44489.06778,17369.3354,0,0
0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.16,0.04,-0.010266514,-0.010691178,0.003233021,0,-0.002128786,0.081706801,0.001075601,-0.126579433,-0.132153767,341048.6338,336486.9489,516134.6356,2304.860184,-271241.6427,-283186.6441
0,0.16,0.08,-0.020252709,-0.020977765,0.006536544,0,-0.003581167,0.083311221,0.002074115,-0.122730937,-0.128113311,341700.2295,334026.2995,520224.2744,4444.531236,-262994.8644,-274528.5234
0,0.16,0.12,-0.029903464,-0.030865493,0.009897919,0,-0.004595327,0.084672678,0.002992436,-0.118386505,-0.124047667,343188.6468,333341.5174,524630.0996,6412.36282,-253685.3688,-265816.4291
0,0.16,0.16,-0.03919455,-0.040355482,0.013310358,0,-0.005343978,0.085923002,0.00383566,-0.113798436,-0.119922181,345338.676,333887.2947,529459.3954,8219.270626,-243853.7922,-256976.1015
0,0.16,0.2,-0.048111214,-0.049446514,0.016771759,0,-0.005945616,0.087161894,0.004609971,-0.10905093,-0.115723251,348069.7629,335329.1566,534845.2506,9878.508936,-233680.5644,-247978.3947
0,0.16,0.24,-0.056642699,-0.058135839,0.02028331,0,-0.006479748,0.088457966,0.005321123,-0.104178891,-0.11143925,351335.2219,337450.0482,540888.0066,11402.4059,-223240.4814,-238798.3938
0,0.16,0.28,-0.064779836,-0.066419304,0.023848397,0,-0.006999799,0.089856456,0.005973981,-0.099194013,-0.107053405,355099.9597,340100.3914,547649.5078,12801.38769,-212558.6,-229400.1526
0,0.16,0.32,-0.072513741,-0.074291263,0.027471826,0,-0.007541967,0.091385862,0.006572408,-0.094095378,-0.102542315,359330.9785,343169.6208,555157.8255,14083.73142,-201632.9521,-219733.532
0,0.16,0.36,-0.079835097,-0.081744464,0.031159265,0,-0.008130609,0.093062152,0.007119296,-0.088875444,-0.097876788,363992.3234,346569.5888,563411.2197,15255.63416,-190447.3806,-209735.9732
0,0.16,0.4,-0.086733812,-0.088770013,0.034916798,0,-0.008781078,0.094890821,0.007616685,-0.083524229,-0.093023548,369041.758,350225.163,572379.2321,16321.46763,-178980.4899,-199336.1734
0,0.16,0.44,-0.093198973,-0.095357456,0.038750531,0,-0.00950068,0.096867292,0.008065948,-0.078032746,-0.087947408,374428.3382,354069.7391,582001.1063,17284.1746,-167213.027,-188458.7305
0,0.16,0.48,-0.099219052,-0.101495019,0.042666182,0,-0.010288187,0.098976019,0.008468034,-0.072396243,-0.082613901,380090.7096,358044.5954,592182.1786,18145.78802,-155134.8069,-177029.7877
0,0.16,0.52,-0.104782372,-0.107170033,0.046668613,0,-0.011132175,0.101188633,0.008823758,-0.066617467,-0.076992605,385956.248,362101.5863,602789.0337,18908.05269,-142751.7142,-164984.154
0,0.16,0.56,-0.109877846,-0.112369591,0.050761272,0,-0.012008517,0.103461495,0.00913412,-0.060710006,-0.071061478,391941.3305,366208.793,613644.5333,19573.11445,-130092.8707,-152274.5964
0,0.16,0.6,-0.114495973,-0.117081486,0.054945532,0,-0.012877549,0.10573328,0.009400634,-0.054701528,-0.064812564,397953.1305,370358.3817,624524.4445,20144.21654,-117217.56,-138884.0649
0,0.16,0.64,-0.118630091,-0.121295473,0.059219935,0,-0.013681931,0.107923703,0.009625612,-0.048636389,-0.058259338,403893.3072,374574.8829,635158.3851,20626.31162,-104220.8329,-124841.4381
0,0.16,0.68,-0.122277795,-0.12500492,0.063579429,0,-0.014346999,0.109935195,0.009812351,-0.042576731,-0.05144566,409663.6971,378920.1284,645239.1145,21026.46623,-91235.85228,-110240.7009
0,0.16,0.72,-0.125442368,-0.128208826,0.06801475,0,-0.014786531,0.111660315,0.009965159,-0.036600676,-0.044455487,415173.359,383487.9349,654445.4627,21353.91307,-78430.02038,-95261.75862
0,0.16,0.76,-0.128133904,-0.130914134,0.072512254,0,-0.01491805,0.112998493,0.010089151,-0.030795812,-0.037420854,420344.756,388377.5066,662484.3835,21619.60959,-65991.02653,-80187.54435
0,0.16,0.8,-0.130369698,-0.133138036,0.07705463,0,-0.014692192,0.113885494,0.010189763,-0.025246038,-0.03052272,425114.1518,393630.8836,669154.4959,21835.20657,-54098.65288,-65405.82827
0,0.16,0.84,-0.13217327,-0.134909621,0.081623093,0,-0.014138543,0.114336004,0.010272002,-0.020010301,-0.023975157,429417.6923,399120.8152,674423.4156,22011.43354,-42879.21728,-51375.33685
0,0.16,0.88,-0.133571346,-0.136269681,0.08620151,0,-0.013422451,0.114491243,0.010339505,-0.015093037,-0.017979745,433151.9657,404389.5705,678490.3438,22156.08161,-32342.22286,-38528.02494
0,0.16,0.92,-0.134588156,-0.137266909,0.090782393,0,-0.012890767,0.114647534,0.010393602,-0.010406137,-0.012638742,436100.4297,408477.3582,681773.7161,22272.00343,-22298.86509,-27083.01949
