Element	Node1	Node2	Type	Length	Sample Points (every 200mm)

0	0	12	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
2000.0	0.065843	0.091156	-0.263088	3.262970e-05	-4.158817e-05	-4.448264e-06
2200.0	0.068802	0.099422	-0.265256	3.463578e-05	-4.331258e-05	-4.712755e-06
2400.0	0.071762	0.107689	-0.267423	3.664187e-05	-4.503699e-05	-4.977246e-06
2600.0	0.074722	0.115956	-0.269591	3.864796e-05	-4.676140e-05	-5.241737e-06
2800.0	0.077681	0.124222	-0.271758	4.065405e-05	-4.848581e-05	-5.506227e-06
3000.0	0.080641	0.132489	-0.273926	4.266014e-05	-5.021022e-05	-5.770718e-06

6	8	20	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	-0.000000	0.000000	-0.000000	2.062603e-20	1.690480e-18	-3.378621e-21
200.0	0.000742	-0.000087	-0.009430	-9.804648e-08	-1.683180e-06	-5.337103e-09
400.0	0.001484	-0.000173	-0.018860	-1.960930e-07	-3.366360e-06	-1.067421e-08
600.0	0.002226	-0.000260	-0.028290	-2.941394e-07	-5.049539e-06	-1.601131e-08
800.0	0.002967	-0.000346	-0.037720	-3.921859e-07	-6.732719e-06	-2.134841e-08
1000.0	0.003709	-0.000433	-0.047150	-4.902324e-07	-8.415899e-06	-2.668551e-08
1200.0	0.004451	-0.000519	-0.056581	-5.882789e-07	-1.009908e-05	-3.202262e-08
1400.0	0.005193	-0.000606	-0.066011	-6.863254e-07	-1.178226e-05	-3.735972e-08
1600.0	0.005935	-0.000692	-0.075441	-7.843718e-07	-1.346544e-05	-4.269682e-08
1800.0	0.006677	-0.000779	-0.084871	-8.824183e-07	-1.514862e-05	-4.803392e-08
2000.0	0.007419	-0.000866	-0.094301	-9.804648e-07	-1.683180e-05	-5.337103e-08
2200.0	0.008161	-0.000952	-0.103731	-1.078511e-06	-1.851498e-05	-5.870813e-08
2400.0	0.008902	-0.001039	-0.113161	-1.176558e-06	-2.019816e-05	-6.404523e-08
2600.0	0.009644	-0.001125	-0.122591	-1.274604e-06	-2.188134e-05	-6.938234e-08
2800.0	0.010386	-0.001212	-0.132021	-1.372651e-06	-2.356452e-05	-7.471944e-08
3000.0	0.011128	-0.001298	-0.141451	-1.470697e-06	-2.524770e-05	-8.005654e-08

7	20	32	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.011128	-0.001298	-0.141451	-1.470697e-06	-2.524770e-05	-8.005654e-08
200.0	0.013268	-0.000694	-0.147022	-1.111728e-06	-2.527222e-05	-1.623400e-07
400.0	0.015408	-0.000089	-0.152593	-7.527584e-07	-2.529675e-05	-2.446235e-07
600.0	0.017548	0.000515	-0.158164	-3.937890e-07	-2.532127e-05	-3.269070e-07
800.0	0.019688	0.001120	-0.163735	-3.481954e-08	-2.534580e-05	-4.091905e-07
1000.0	0.021828	0.001724	-0.169306	3.241499e-07	-2.537033e-05	-4.914740e-07
1200.0	0.023969	0.002329	-0.174876	6.831193e-07	-2.539485e-05	-5.737575e-07
1400.0	0.026109	0.002934	-0.180447	1.042089e-06	-2.541938e-05	-6.560410e-07
1600.0	0.028249	0.003538	-0.186018	1.401058e-06	-2.544390e-05	-7.383245e-07
1800.0	0.030389	0.004143	-0.191589	1.760028e-06	-2.546843e-05	-8.206080e-07
2000.0	0.032529	0.004747	-0.197160	2.118997e-06	-2.549296e-05	-9.028915e-07
2200.0	0.034669	0.005352	-0.202731	2.477966e-06	-2.551748e-05	-9.851749e-07
2400.0	0.036809	0.005957	-0.208302	2.836936e-06	-2.554201e-05	-1.067458e-06
2600.0	0.038949	0.006561	-0.213872	3.195905e-06	-2.556653e-05	-1.149742e-06
2800.0	0.041089	0.007166	-0.219443	3.554875e-06	-2.559106e-05	-1.232025e-06
3000.0	0.043229	0.007770	-0.225014	3.913844e-06	-2.561558e-05	-1.314309e-06

8	32	44	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.043229	0.007770	-0.225014	3.913844e-06	-2.561558e-05	-1.314309e-06
200.0	0.046597	0.016116	-0.226770	9.967673e-06	-2.727730e-05	-1.777147e-06
400.0	0.049964	0.024462	-0.228525	1.602150e-05	-2.893901e-05	-2.239986e-06
600.0	0.053331	0.032808	-0.230281	2.207533e-05	-3.060072e-05	-2.702824e-06
800.0	0.056699	0.041153	-0.232036	2.812916e-05	-3.226244e-05	-3.165663e-06
1000.0	0.060066	0.049499	-0.233792	3.418299e-05	-3.392415e-05	-3.628501e-06
1200.0	0.063433	0.057845	-0.235547	4.023682e-05	-3.558586e-05	-4.091340e-06
1400.0	0.066800	0.066191	-0.237303	4.629064e-05	-3.724757e-05	-4.554178e-06
1600.0	0.070168	0.074537	-0.239058	5.234447e-05	-3.890929e-05	-5.017017e-06
1800.0	0.073535	0.082883	-0.240814	5.839830e-05	-4.057100e-05	-5.479855e-06
2000.0	0.076902	0.091228	-0.242570	6.445213e-05	-4.223271e-05	-5.942694e-06
2200.0	0.080269	0.099574	-0.244325	7.050596e-05	-4.389442e-05	-6.405532e-06
2400.0	0.083637	0.107920	-0.246081	7.655979e-05	-4.555614e-05	-6.868371e-06
2600.0	0.087004	0.116266	-0.247836	8.261362e-05	-4.721785e-05	-7.331209e-06
2800.0	0.090371	0.124612	-0.249592	8.866744e-05	-4.887956e-05	-7.794048e-06
3000.0	0.093739	0.132957	-0.251347	9.472127e-05	-5.054127e-05	-8.256886e-06

